"","ref_id","iso2","reviewed_by","reviewed_date","country_role"
"157","ISI000479838200001","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"158","ISI000482247200032","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"159","ISI000476028500001","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"160","ISI000477224100001","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"161","ISI000482422300020","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"162","ISI000474047600016","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"163","ISI000465063900022","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"164","ISI000468319700007","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"165","ISI000468158400001","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"166","ISI000465179500003","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"167","ISI000467289800011","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"168","ISI000472716600007","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"169","ISI000468531300024","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"170","ISI000466621400039","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"171","ISI000461206000002","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"172","ISI000467408900001","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"173","ISI000460573200003","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"174","ISI000462130200007","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"175","ISI000459813500007","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"176","ISI000459806400004","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"177","ISI000455486900010","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"178","ISI000453690200003","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"179","ISI000453690200004","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"180","ISI000519906400003","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"181","ISI000461722100009","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"182","ISI000461689400001","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"183","ISI000459740700013","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"184","ISI000456890100036","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"185","ISI000459038000009","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"186","ISIA1995QJ84800013","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"187","ISIA1995UW02200013","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"188","ISIA1995TE80700002","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"189","ISIA1995QG44600027","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"190","ISIA1995QG40900003","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"191","ISIA1994PW47000010","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"192","ISIA1995RF20300002","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"193","ISIA1994QQ24700001","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"194","ISIA1994PX21900002","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"195","ISIA1994PB91400009","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"196","ISIA1994NU36700005","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"197","ISIA1994PF27800002","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"198","ISIA1994NL91800010","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"199","ISIA1994NN80400005","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"200","ISIA1994NT85300005","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"201","ISIA1993MH73600006","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"202","ISIA1994NL70600009","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"203","ISIA1993MM35200009","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"204","ISIA1993MJ11500004","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"205","ISIA1993LA33100008","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"206","ISIA1994BE07X00026","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"207","ISIA1993LF32000004","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"208","ISIA1993KF94400002","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"209","ISIA1993MC17400010","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"210","ISIA1992JP94500005","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"211","ISIA1992JF48500012","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"212","ISIA1992HW29400008","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"213","ISIA1992JJ85000003","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"214","ISIA1992HL05500005","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"215","ISIA1992HH26000004","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"216","ISIA1992JM16300009","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"217","ISIA1991FN96600009","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"218","ISIA1991FY63300008","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"219","ISIA1991FE19600008","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"220","ISIA1991GW77300007","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"221","ISIA1991FY57500001","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"222","ISIA1991FY57500007","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"223","ISIA1991GG07500015","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"224","ISIA1991FK04400009","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"225","ISIA1991GV37500010","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"226","ISIA1991FW37200001","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"227","ISIA1990FA74700001","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"228","ISIA1988N188300010","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"229","ISIA1988N188300014","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"230","ISIA1988R091900002","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"231","ISIA1986A918300014","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"232","ISIA1985ADB7300008","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"233","ISIA1984ANV2200007","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"234","ISIA1984SV62100007","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"235","ISIA1984TA92100014","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"236","ISIA1984SP92900006","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"237","ISIA1982PL06600018","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"238","ISIA1982PB31200005","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"239","ISIA19679060000154","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"240","ISIA1981MU63200004","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"241","ISIA1980JZ66100006","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"242","ISIA1979HP83900015","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"243","ISIA1969D819200007","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"244","ISIA1976CQ52000011","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"245","ISIA1972N174500015","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"246","ISIA1969D227400021","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"247","ISIA19679724200025","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"248","ISIA19667224000016","AU","Rsaurio",2020-10-29 10:05:59,"In text"
