"","year","ref_id","reviewed_by","status"
"493",2019,"ISI000491201600014",NA,NA
"494",2019,"ISI000487085200406",NA,NA
"495",2019,"ISI000482972800016",NA,NA
"496",2019,"ISI000481563000021",NA,NA
"497",2019,"ISI000481414100005",NA,NA
"498",2019,"ISI000460620903089",NA,NA
"499",2019,"ISI000457871900016",NA,NA
"500",2019,"ISI000456747400003",NA,NA
"501",2019,"ISI000457150900160",NA,NA
"502",2019,"ISI000453690200001","Rsaurio","rejected off topic"
"503",2019,"ISI000546248000010",NA,NA
"504",2019,"ISI000546248000016",NA,NA
"505",2019,"ISI000542032500005",NA,NA
"506",2019,"ISI000542923900005",NA,NA
"507",2019,"ISI000527472500008",NA,NA
"508",2019,"ISI000526028900004",NA,NA
"509",2019,"ISI000489152500020",NA,NA
"510",2019,"ISI000492729900013",NA,NA
"511",1994,"ISIA1994PC67400013",NA,NA
"512",2019,"ISI000482731000006",NA,NA
"513",2019,"ISI000477899200009",NA,NA
"514",2019,"ISI000470054900002",NA,NA
"515",2019,"ISI000459038000009",NA,NA
"516",1995,"ISIA1995QR17100026",NA,NA
"517",2019,"ISI000454604400022",NA,NA
"518",1995,"ISIA1995QX38800005",NA,NA
"519",1995,"ISIA1995QX38800009",NA,NA
"520",1995,"ISIA1995RH67200008","Rsaurio","rejected off topic"
"521",1994,"ISIA1994PE69000018",NA,NA
"522",1995,"ISIA1995RE91700005",NA,NA
"523",1995,"ISIA1995RJ25700006",NA,NA
"524",1995,"ISIA1995QZ11700006",NA,NA
"525",1995,"ISIA1995RL66900004",NA,NA
"526",1995,"ISIA1995RA15000033",NA,NA
"527",1995,"ISIA1995QT70100009",NA,NA
"528",1995,"ISIA1995QZ03900013",NA,NA
"529",1995,"ISIA1995QX31000001","Rsaurio","rejected off topic"
"530",1995,"ISIA1995RA97300001",NA,NA
"531",1995,"ISIA1995RR09100002",NA,NA
"532",1995,"ISIA1995QY77100016",NA,NA
"533",1995,"ISIA1995QU94100038",NA,NA
"534",1995,"ISIA1995QU64000028",NA,NA
"535",1995,"ISIA1995QY56200007",NA,NA
"536",1995,"ISIA1995RB50200007",NA,NA
"537",1995,"ISIA1995QT28100027",NA,NA
"538",1995,"ISIA1995QQ38100003",NA,NA
"539",1994,"ISIA1994NU75800047",NA,NA
"540",1995,"ISIA1995QP13400039",NA,NA
"541",1995,"ISIA1995QR93600001",NA,NA
"542",1995,"ISIA1995QQ14100002",NA,NA
"543",1995,"ISIA1995QY12000085",NA,NA
"544",1995,"ISIA1995QT58400011",NA,NA
"545",1995,"ISIA1995QP67600004",NA,NA
"546",1994,"ISIA1994NN72500035",NA,NA
"547",1995,"ISIA1995RL60800006","Rsaurio",NA
"548",1995,"ISIA1995QM57600007",NA,NA
"549",1995,"ISIA1995QP23600002",NA,NA
"550",1995,"ISIA1995QQ57800001",NA,NA
"551",1994,"ISIA1994PE90800009",NA,NA
